searchConditionText,searchCondition,searchKeyword,pageIndex,pageUnit,recordCountPerPage,zoneYn,acdnt_no,engn_code,acdnt_year,acdnt_dd_dc,dfk_code,dfk_dc,tmzon_div_1_code,tmzon_div_1_dc,occrrnc_time_code,occrrnc_time_dc,legaldong_code,legaldong_name,acdnt_hcode,acdnt_hdc,acdnt_mcode,acdnt_mdc,acdnt_code,acdnt_dc,lrg_violt_1_code,lrg_violt_1_dc,x_crdnt,y_crdnt,wether_sttus_code,wether_sttus_dc,road_stle_code,road_stle_dc,hhdgw_at,acdnt_gae_code,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hcode,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_code,wrngdo_vhcle_asort_dc,injury_dgree_1_hcode,injury_dgree_1_hdc,injury_dgree_1_code,injury_dgree_1_dc,acdnt_age_1_code,acdnt_age_1_dc,sexdstn_div_1_code,sexdstn_div_1_dc,dmge_vhcle_asort_hcode,dmge_vhcle_asort_hdc,dmge_vhcle_asort_code,dmge_vhcle_asort_dc,injury_dgree_2_hcode,injury_dgree_2_hdc,injury_dgree_2_code,injury_dgree_2_dc,acdnt_age_2_code,acdnt_age_2_dc,sexdstn_div_2_code,sexdstn_div_2_dc,bdy_injury_part_1_code,bdy_injury_part_1_dc,bdy_injury_part_2_code,bdy_injury_part_2_dc,spt_otlnmap_at,rdse_sttus_code,rdse_sttus_dc,acdnt_pos,acdnt_des,road_div,road_no,route_nm,otn_acdnt_no,city_idt_code,city_idt_dc,xCrdnt,yCrdnt,acdnt_frm_lv1,acdnt_frm_lv2,acdnt_frm_lv3,acdnt_sta_lv1,acdnt_sta_lv2,rde_id,rde_nm,serial_no,rn,query_start_year,query_end_year,query_period,lon,lat
,,,1,3,10,False,2020031700100172,00,2020,2020년  3월,2,화요일,01,주간,12,12시,4817012600,경상남도 진주시,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,1050323,1686214,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,50,41-50세,1,남,500,보행자,500,보행자,200,부상,220,경상,66,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조,진양호밀면 앞 진양호밀면 앞,,,,,20200008372003,,,0.0,0.0,,,,,,,,2020040772,,2020,2022,2020~2022,128.05261699906177,35.16994182638724
,,,1,3,10,False,2020032300100098,00,2020,2020년  3월,1,월요일,01,주간,08,08시,4817011900,경상남도 진주시,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,1054714,1687387,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,120,승합,300,상해없음,300,상해없음,59,51-60세,1,남,500,보행자,500,보행자,200,부상,210,중상,79,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조,구법원 옆 편도2차선도로 남강로 885 앞 노상,,,,,20200009092003,,,0.0,0.0,,,,,,,,2020043611,,2020,2022,2020~2022,128.10091188701915,35.180288835376636
,,,1,3,10,False,2020032700100422,00,2020,2020년  3월,5,금요일,02,야간,18,18시,4817012000,경상남도 진주시,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,1056682,1688675,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,38,31-40세,2,여,500,보행자,500,보행자,200,부상,220,경상,81,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조,큰바다 횟집 앞 큰바다횟집앞,,,,,20200009602003,,,0.0,0.0,,,,,,,,2020046101,,2020,2022,2020~2022,128.12261346046319,35.19179309849906
,,,1,3,10,False,2020033000100384,00,2020,2020년  3월,1,월요일,01,주간,17,17시,4817010200,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,02,신호위반,1054360,1686315,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,150,이륜,300,상해없음,300,상해없음,23,21-30세,1,남,500,보행자,500,보행자,200,부상,210,중상,67,65세 이상,1,남,00,상해없음,13,우측 하퇴부,없음,01, 건조,대천 주약 충전소 앞,,,,,20200009842003,,,0.0,0.0,,,,,,,,2020047522,,2020,2022,2020~2022,128.09695350590255,35.17064217022411
,,,1,3,10,False,2020041600100108,00,2020,2020년  4월,4,목요일,01,주간,09,09시,4817011300,경상남도 진주시,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,1052623,1689087,01,맑음,299,단일로 - 기타,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,35,31-40세,2,여,500,보행자,500,보행자,200,부상,210,중상,73,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조,진주약국 앞,,107,0,진주대로,20200011382003,,,0.0,0.0,,,,,,,,2020056301,,2020,2022,2020~2022,128.0780565008921,35.19572898156088
,,,1,3,10,False,2020041800100328,00,2020,2020년  4월,6,토요일,01,주간,15,15시,4817010900,경상남도 진주시,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,1053118,1689114,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,70,65세 이상,1,남,500,보행자,500,보행자,200,부상,220,경상,81,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조,경상남도 진주시 진주대로 1080 데상트 옆 도로,,107,0,진주대로,20200011712003,,,0.0,0.0,,,,,,,,2020057550,,2020,2022,2020~2022,128.08349549966835,35.19594635511483
,,,1,3,10,False,2020042100100094,00,2020,2020년  4월,2,화요일,01,주간,08,08시,4817010400,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,08,보행자보호의무위반,1053408,1688278,01,맑음,115,교차로 - 교차로횡단보도내,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,35,31-40세,2,여,500,보행자,500,보행자,200,부상,210,중상,85,65세 이상,2,여,00,상해없음,03,앞면 가슴,없음,01, 건조,경상남도 진주시 진주대로 992,,107,0,진주대로,20200011992003,,,0.0,0.0,,,,,,,,2020058773,,2020,2022,2020~2022,128.08662678247623,35.1883930187279
,,,1,3,10,False,2020042800100315,00,2020,2020년  4월,2,화요일,01,주간,14,14시,4817012100,경상남도 진주시,100,차대사람,120,차도통행중,120,차대사람 - 차도통행중,06,안전운전불이행,1054703,1687099,01,맑음,299,단일로 - 기타,N,02,중상사고,0,2,0,0,100,원동기 자전거 이상,150,이륜,200,부상,210,중상,82,65세 이상,1,남,500,보행자,500,보행자,200,부상,210,중상,81,65세 이상,1,남,03,앞면 가슴,03,앞면 가슴,없음,01, 건조,경상남도 진주시 도동천로 2 진주학생수영장 옆 도로,,,,,20200012772003,,,0.0,0.0,,,,,,,,2020062817,,2020,2022,2020~2022,128.10077197460558,35.17769263146567
,,,1,3,10,False,2020051100100618,00,2020,2020년  5월,1,월요일,02,야간,21,21시,4817012200,경상남도 진주시,100,차대사람,110,횡단중,110,차대사람 - 횡단중,02,신호위반,1056878,1690979,01,맑음,110,교차로 - 교차로안,N,02,중상사고,0,1,0,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,52,51-60세,1,남,500,보행자,500,보행자,200,부상,210,중상,72,65세 이상,1,남,00,상해없음,98,기타,없음,01, 건조,진주 농산물 도매시장 근처 금산교 사거리,,106,1009,지방도1009호선,20200014212003,,,0.0,0.0,,,,,,,,2020070600,,2020,2022,2020~2022,128.12492539518342,35.212556263592184
,,,1,3,10,False,2020051600100286,00,2020,2020년  5월,6,토요일,01,주간,14,14시,4817010900,경상남도 진주시,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,1053170,1688895,01,맑음,299,단일로 - 기타,N,03,경상사고,0,0,1,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,55,51-60세,1,남,500,보행자,500,보행자,200,부상,220,경상,81,65세 이상,2,여,00,상해없음,98,기타,없음,01, 건조,뉴캐슬나이트 앞 몰에이지 앞 횡단보도,,107,0,진주대로,20200014722003,,,0.0,0.0,,,,,,,,2020073415,,2020,2022,2020~2022,128.0840525538707,35.193968948342665
